date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2023-12-31,007590,47500527850.0,116774798250.0,164275326100.0
2022-12-31,007590,39409997090.0,107312851510.0,146722848600.0
2021-12-31,007590,37472802990.0,96593131150.0,134065934140.0
2020-12-31,007590,37100118450.0,92421566640.0,129521685090.0
2022-12-31,000640,294385588720.0,720475309230.0,1014860897950.0
2021-12-31,000640,281483972310.0,600460111720.0,881944084030.0
2020-12-31,000640,261984965340.0,521330697130.0,783315662470.0
2022-12-31,170900,315392083990.0,320000598740.0,635392682730.0
2021-12-31,170900,293876032060.0,299351883680.0,593227915740.0
2020-12-31,170900,284340895110.0,302387231860.0,586728126970.0
2022-12-31,001520,82523508650.0,685158028940.0,767681537590.0
2021-12-31,001520,80457914130.0,619111544040.0,699569458170.0
2020-12-31,001520,64260227740.0,538679702210.0,602939929950.0
2022-12-31,001527,82523508650.0,685158028940.0,767681537590.0
2021-12-31,001527,80457914130.0,619111544040.0,699569458170.0
2020-12-31,001527,64260227740.0,538679702210.0,602939929950.0
2022-12-31,001525,82523508650.0,685158028940.0,767681537590.0
2021-12-31,001525,80457914130.0,619111544040.0,699569458170.0
2020-12-31,001525,64260227740.0,538679702210.0,602939929950.0
2022-12-31,092780,40719016910.0,357164080840.0,397883097750.0
2021-12-31,092780,39402880430.0,315187645600.0,354590526030.0
2020-12-31,092780,37853948760.0,283695138470.0,321549087230.0
2022-12-31,049770,865279656650.0,3158297937320.0,4023577593970.0
2021-12-31,049770,797924793270.0,2692698463520.0,3490623256790.0
2020-12-31,049770,720725980920.0,2449533285600.0,3170259266520.0
2022-12-31,006040,1491703150390.0,7534555217090.0,9026258367480.0
2021-12-31,006040,1446634650950.0,6156365008560.0,7602999659510.0
2020-12-31,006040,493904643230.0,2363426663170.0,2857331306400.0
2022-12-31,014820,162796976710.0,1274202474850.0,1436999451560.0
2021-12-31,014820,155595061210.0,1095287209100.0,1250882270310.0
2020-12-31,014820,152915888050.0,925623655940.0,1078539543990.0
2022-12-31,014825,162796976710.0,1274202474850.0,1436999451560.0
2021-12-31,014825,155595061210.0,1095287209100.0,1250882270310.0
2020-12-31,014825,152915888050.0,925623655940.0,1078539543990.0
2022-12-31,111380,77558185570.0,173031035320.0,250589220890.0
2021-12-31,111380,45479876770.0,122903015810.0,168382892580.0
2022-12-31,000020,180990260030.0,159436067270.0,340426327300.0
2021-12-31,000020,149346987730.0,143671124290.0,293018112020.0
2020-12-31,000020,138665954310.0,133409429490.0,272075383800.0
2022-12-31,000150,2838047017240.0,14157713085770.0,16995760103010.0
2021-12-31,000150,2206916966530.0,10644568825480.0,12851485792010.0
2020-12-31,000150,1480907625080.0,9947641536350.0,11428549161430.0
2022-12-31,000157,2838047017240.0,14157713085770.0,16995760103010.0
2021-12-31,000157,2206916966530.0,10644568825480.0,12851485792010.0
2020-12-31,000157,1480907625080.0,9947641536350.0,11428549161430.0
2022-12-31,454910,14243534500.0,30710139900.0,44953674400.0
2021-12-31,454910,11382378090.0,25597845060.0,36980223150.0
2020-12-31,454910,4449605830.0,15714402410.0,20164008240.0
2022-12-31,241560,1948516210000.0,6673395662000.0,8621911872000.0
2021-12-31,241560,1233644789000.0,4582555180000.0,5816199969000.0
2020-12-31,241560,889848268000.0,3392209379000.0,4282057647000.0
2022-12-31,034020,2555877339900.0,12865180742480.0,15421058082380.0
2021-12-31,034020,1833756050630.0,9157134165220.0,10990890215850.0
2020-12-31,034020,1039736451380.0,8131775775060.0,9171512226440.0
2022-12-31,000155,2838047017240.0,14157713085770.0,16995760103010.0
2021-12-31,000155,2206916966530.0,10644568825480.0,12851485792010.0
2020-12-31,000155,1480907625080.0,9947641536350.0,11428549161430.0
2022-12-31,192650,182308768080.0,1186334764290.0,1368643532370.0
2021-12-31,192650,165290150190.0,1066333140410.0,1231623290600.0
2020-12-31,192650,83981892640.0,870677565480.0,954659458120.0
2022-12-31,092200,72994670160.0,622895551410.0,695890221570.0
2021-12-31,092200,67494976460.0,522637069130.0,590132045590.0
2020-12-31,092200,-31681306610.0,525068686360.0,493387379750.0
2022-12-31,089860,2693428447270.0,45511142000.0,2738939589270.0
2021-12-31,089860,2382125760490.0,40533078000.0,2422658838490.0
2020-12-31,089860,2225173401840.0,26899386000.0,2252072787840.0
2022-12-31,020150,129583091340.0,599779830480.0,729362921820.0
2021-12-31,020150,112657969660.0,576234643850.0,688892613510.0
2020-12-31,020150,86395994270.0,450520986410.0,536916980680.0
2023-12-31,280360,1131732951490.0,2934658911620.0,4066391863110.0
2022-12-31,280360,912194527910.0,2291069933140.0,3203264461050.0
2021-12-31,280360,733081854580.0,1412325390200.0,2145407244780.0
2020-12-31,280360,719199979000.0,1356848042950.0,2076048021950.0
2023-12-31,286940,125125394590.0,1071597073310.0,1196722467900.0
2022-12-31,286940,93680480540.0,954024397290.0,1047704877830.0
2021-12-31,286940,75652266570.0,854346444570.0,929998711140.0
2020-12-31,286940,68883635060.0,780662258000.0,849545893060.0
2022-12-31,004990,4150206662370.0,9961645646800.0,14111852309170.0
2021-12-31,004990,2627818346010.0,7297045668180.0,9924864014190.0
