date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2023-06-30,267260,118124075770.0,524358000960.0,642482076730.0
2023-03-31,267260,112224940430.0,456366471170.0,568591411600.0
2022-12-31,267260,104181225020.0,573328777570.0,677510002590.0
2023-09-30,329180,161162624000.0,2692363761000.0,2853526385000.0
2023-06-30,329180,198357334000.0,2866040479000.0,3064397813000.0
2023-03-31,329180,125995183000.0,2506895078000.0,2632890261000.0
2022-12-31,329180,99767948000.0,2574479959000.0,2674247907000.0
2023-09-30,097230,-12286000000.0,502803000000.0,490517000000.0
2023-06-30,097230,-49094000000.0,550472000000.0,501378000000.0
2023-03-31,097230,11985000000.0,393036000000.0,405021000000.0
2022-12-31,097230,22402000000.0,574461000000.0,596863000000.0
2023-12-31,014790,43752494970.0,389501554360.0,433254049330.0
2023-09-30,014790,43614661180.0,367922556420.0,411537217600.0
2023-06-30,014790,33628218550.0,356876124150.0,390504342700.0
2023-03-31,014790,31607866910.0,305074105950.0,336681972860.0
2022-12-31,014790,62740271650.0,375536089100.0,438276360750.0
2023-09-30,003580,9929100400.0,12798166060.0,22727266460.0
2023-06-30,003580,9309559820.0,11192138220.0,20501698040.0
2023-03-31,003580,8306025830.0,9817772490.0,18123798320.0
2022-12-31,003580,699587330.0,8774512830.0,9474100160.0
2023-09-30,060980,19904265200.0,261230938280.0,281135203480.0
2023-06-30,060980,91007276240.0,271425997920.0,362433274160.0
2023-03-31,060980,61308115360.0,261143036590.0,322451151950.0
2022-12-31,060980,18616977720.0,300732862620.0,319349840340.0
2023-12-31,011200,164131000000.0,1898690000000.0,2062821000000.0
2023-09-30,011200,167843000000.0,1958756000000.0,2126599000000.0
2023-06-30,011200,242354000000.0,1887634000000.0,2129988000000.0
2023-03-31,011200,401077000000.0,1680484000000.0,2081561000000.0
2022-12-31,011200,1432767000000.0,2091066000000.0,3523833000000.0
2023-12-31,035000,67720162710.0,122343084570.0,190063247280.0
2023-09-30,035000,55242130400.0,61211467720.0,116453598120.0
2023-06-30,035000,57350114650.0,94865848560.0,152215963210.0
2023-03-31,035000,39407379770.0,50193810630.0,89601190400.0
2022-12-31,035000,68576187290.0,160118424510.0,228694611800.0
2023-12-31,003560,7615826890.0,7615826890.0
2023-09-30,003560,8149828820.0,8149828820.0
2023-06-30,003560,11064819590.0,11064819590.0
2023-03-31,003560,9469806200.0,9469806200.0
2022-12-31,003560,12094739350.0,12094739350.0
2023-12-31,234080,13843435100.0,39794006280.0,53637441380.0
2023-09-30,234080,11891327750.0,39249915790.0,51141243540.0
2023-06-30,234080,13115908310.0,38973782520.0,52089690830.0
2023-03-31,234080,13542353410.0,36449642630.0,49991996040.0
2022-12-31,234080,13034888880.0,37207843800.0,50242732680.0
