date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2020-12-31,267260,310177220680.0,1501167513700.0,1811344734380.0
2022-12-31,329180,162861047000.0,8882619441000.0,9045480488000.0
2021-12-31,329180,-209208672000.0,8520484596000.0,8311275924000.0
2020-12-31,329180,474127149000.0,7837882674000.0,8312009823000.0
2022-12-31,097230,96635000000.0,1691528000000.0,1788163000000.0
2021-12-31,097230,-20527000000.0,1727059000000.0,1706532000000.0
2020-12-31,097230,130471000000.0,1565344000000.0,1695815000000.0
2023-12-31,014790,152603241600.0,1419374340880.0,1571977582480.0
2022-12-31,014790,145464353720.0,1326623917960.0,1472088271680.0
2021-12-31,014790,184603221260.0,1290695840270.0,1475299061530.0
2020-12-31,014790,177306582080.0,1373570462130.0,1550877044210.0
2022-12-31,003580,8456493030.0,36135406160.0,44591899190.0
2021-12-31,003580,8870272190.0,36175880830.0,45046153020.0
2020-12-31,003580,4674199760.0,30702621750.0,35376821510.0
2022-12-31,060980,208510300400.0,1068595769650.0,1277106070050.0
2021-12-31,060980,226219077370.0,814939335030.0,1041158412400.0
2020-12-31,060980,167305172410.0,568492466920.0,735797639330.0
2023-12-31,011200,974862000000.0,7426107000000.0,8400969000000.0
2022-12-31,011200,10443855000000.0,8138915000000.0,18582770000000.0
2021-12-31,011200,7757727000000.0,6036421000000.0,13794148000000.0
2020-12-31,011200,1284442000000.0,5128828000000.0,6413270000000.0
2023-12-31,035000,219719787540.0,328614211480.0,548333999020.0
2022-12-31,035000,204404402820.0,326043650800.0,530448053620.0
2021-12-31,035000,184458984450.0,274038786040.0,458497770490.0
2020-12-31,035000,164697287200.0,210919735540.0,375617022740.0
2023-12-31,003560,36300281500.0,36300281500.0
2022-12-31,003560,46794198790.0,46794198790.0
2021-12-31,003560,60007423250.0,60007423250.0
2020-12-31,003560,81049278890.0,81049278890.0
2023-12-31,234080,52393024570.0,154467347220.0,206860371790.0
2022-12-31,234080,48120699980.0,140810465260.0,188931165240.0
2021-12-31,234080,49157280070.0,120659669940.0,169816950010.0
2020-12-31,234080,59496901800.0,124024143280.0,183521045080.0
2023-12-31,001060,335542396070.0,412984311740.0,748526707810.0
2022-12-31,001060,287954537740.0,396396561500.0,684351099240.0
2021-12-31,001060,234376333340.0,372208611430.0,606584944770.0
2020-12-31,001060,177525624140.0,369810083660.0,547335707800.0
2023-12-31,001067,335542396070.0,412984311740.0,748526707810.0
